time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1775582998001676500,3847.965676513672,550.1220149854198,1.7160855752573947,180,-33.439420591726545,524.3073215344921,276.1973566396334,12.311436195863477,3.2205898767090386,-70.687155295411,0.08131529604624216
1775582999001697000,3848.965697021484,550.1109791556373,1.5249548353492377,180,-33.43942058542402,524.2962857047096,276.19735638971,12.311793126325613,3.219559287069803,-70.68715496361796,0
1775583000001717000,3849.9657170410155,550.2239436879754,1.695888922844643,180,-33.439420136583934,524.4092502370477,276.19734937516824,12.260837458658786,3.4376620591722973,-70.68714559695667,0.023624843099318414
1775583001001736700,3850.965736816406,550.2894509742036,1.1516254162242965,180,-33.43942006074274,524.4747575232759,276.1973472376591,12.278245583963534,3.2154331277327266,-70.68714277906533,0
1775583002001756700,3851.965756591797,550.2894509742036,1.1327446489583621,180,-33.439420164614795,524.4747575232759,276.1973472376591,12.24954577106582,3.1602247338022735,-70.68714263166831,0
1775583003001775900,3852.9657758789062,550.3467210214585,1.614179554039675,180,-33.43942163513496,524.5320275705308,276.1973410755944,12.182251247017975,3.3328300131378645,-70.6871340209913,0.01268860596740706
1775583004001795800,3853.9657958984376,557.2103226386565,1.463314859052582,180,-33.43939563807932,531.3956291877288,276.19734099924665,11.186684645819257,3.2294251744534925,-70.6871435409071,0
1775583005001816300,3854.96581640625,550.170223750174,1.6737071189175206,180,-33.43940517295928,524.3555302992463,276.19734982765624,29.540052162471348,3.3793288492747635,-70.68720035767602,0.2646843846303899
1775583006001835300,3855.9658352050783,550.1117839887738,1.3487978254272366,180,-33.43941851065624,524.2970905378461,276.19734931918697,26.824090260766205,3.3337040521375316,-70.68717541569978,0
1775583007001855500,3856.96585546875,550.1117839887738,1.3396628542294207,180,-33.43942335975999,524.2970905378461,276.19734931918697,24.400290343167956,3.3612815622126337,-70.68716409792395,0
1775583008001874400,3857.9658745117185,550.1117839887738,1.138873483719686,180,-33.439426732834136,524.2970905378461,276.19734931918697,22.605325296082068,3.279074089270975,-70.68715622519136,0
1775583009001894100,3858.9658940429686,550.1117839887738,1.24887782743659,180,-33.43942700906744,524.2970905378461,276.19734931918697,22.435484386921416,3.245742794458407,-70.68715558046468,0
1775583010001914600,3859.9659145507812,550.3429135233164,1.137005142942725,180,-33.43944712815593,524.5282200723886,276.1973443304688,22.22553628002051,3.2058350629898786,-70.68712986327301,0
1775583011001934600,3860.9659345703126,550.3224951410666,1.702546652291706,180,-33.43944239642215,524.5078016901389,276.1973441022961,21.829045902299082,3.230582697763837,-70.68712896208578,0
