seconds_elapsed,latitude,longitude
1581.9648,33.4391,70.6909
1582.9648,33.4391,70.6909
1583.9647,33.4391,70.6909
1584.9647,33.4391,70.6909
1585.9647,33.4391,70.6909
1586.9647,33.4391,70.6909
1587.9647,33.439,70.6908
1588.9647,33.439,70.6908
1589.9647,33.439,70.6908
1590.9647,33.439,70.6908
1591.9646,33.439,70.6908
1592.9646,33.439,70.6908
1593.9646,33.439,70.6908
1594.9646,33.439,70.6908
1595.9646,33.439,70.6908
1596.9646,33.439,70.6908
1597.9646,33.439,70.6908
1598.9646,33.439,70.6908
1599.9646,33.439,70.6908
1600.9646,33.439,70.6908
1601.9646,33.439,70.6908
1602.9646,33.439,70.6908
1603.9646,33.439,70.6908
1604.9646,33.439,70.6908
1605.9646,33.439,70.6908
1606.9646,33.439,70.6908
1607.9646,33.439,70.6908
1608.9646,33.439,70.6908
1609.9646,33.439,70.6908
1610.9646,33.439,70.6907
1611.9646,33.439,70.6907
1612.9646,33.439,70.6907
1613.9646,33.439,70.6907
1614.9646,33.4391,70.6907
1615.9646,33.4391,70.6907
1616.9646,33.4391,70.6907
1617.9646,33.4391,70.6907
1618.9646,33.4391,70.6907
1619.9646,33.4391,70.6907
1620.9646,33.4391,70.6907
1621.9646,33.4391,70.6907
1622.9646,33.4391,70.6907
1623.9646,33.4391,70.6907
1624.9646,33.4391,70.6907
1625.9646,33.4391,70.6907
1626.9646,33.4391,70.6907
1627.9646,33.4391,70.6907
1628.9646,33.4391,70.6907
1629.9646,33.4391,70.6907
1630.9647,33.4391,70.6907
1631.9647,33.4391,70.6907
1632.9647,33.4391,70.6907
1633.9647,33.4391,70.6907
1634.9647,33.4391,70.6907
1635.9647,33.4391,70.6907
1636.9647,33.4391,70.6907
1637.9647,33.4391,70.6907
1638.9647,33.4391,70.6907
1639.9647,33.4391,70.6907
1640.9647,33.4391,70.6907
1641.9647,33.4391,70.6907
1642.9647,33.4391,70.6907
1643.9647,33.4391,70.6907
1644.9647,33.4391,70.6907
1645.9647,33.4391,70.6907
1646.9647,33.4391,70.6907
1647.9647,33.4391,70.6907
1648.9647,33.4391,70.6907
1649.9647,33.4391,70.6907
1650.9647,33.4391,70.6907
1651.9648,33.4391,70.6907
1652.9648,33.4391,70.6907
1653.9648,33.4391,70.6907
1654.9648,33.4391,70.6907
1655.9648,33.4391,70.6907
1656.9648,33.4391,70.6907
1657.9648,33.4391,70.6908
1658.9648,33.4391,70.6908
1659.9648,33.4391,70.6908
1660.9648,33.4391,70.6908
1661.9648,33.4391,70.6908
1662.9648,33.4391,70.6908
1663.9648,33.4391,70.6908
1664.9648,33.4391,70.6908
1665.9648,33.4391,70.6907
1666.9648,33.4391,70.6907
1667.9648,33.4391,70.6907
1668.9648,33.4391,70.6907
1669.9648,33.4391,70.6907
1670.9649,33.4391,70.6907
1671.9649,33.4391,70.6907
1672.9649,33.4391,70.6908
1673.9649,33.4391,70.6908
1674.9649,33.4391,70.6908
1675.9649,33.4391,70.6908
1676.9649,33.4391,70.6908
1677.9649,33.4391,70.6908
1678.9649,33.4391,70.6908
1679.9649,33.4391,70.6908
1680.9649,33.4391,70.6908
1681.9649,33.4391,70.6908
1682.9649,33.4391,70.6908
1683.9649,33.4391,70.6908
1684.9649,33.4388,70.6908
1685.9649,33.4388,70.6909
1686.9649,33.4389,70.6909
1687.9649,33.439,70.6909
1688.9649,33.4389,70.6909
1689.965,33.4389,70.6909
1690.965,33.4389,70.6909
1691.965,33.4389,70.6909
1692.965,33.4389,70.6909
1693.965,33.439,70.6908
1694.965,33.439,70.6908
1695.965,33.439,70.6908
1696.965,33.439,70.6908
1697.9651,33.439,70.6908
1698.9651,33.439,70.6908
1699.9651,33.439,70.6909
1700.9651,33.439,70.6909
1701.965,33.439,70.6909
1702.965,33.439,70.6909
1703.965,33.439,70.6909
1704.965,33.439,70.6909
1705.9649,33.439,70.6909
1706.9649,33.439,70.6909
1707.9649,33.439,70.6909
1708.9649,33.439,70.6909
1709.9648,33.4392,70.6907
1710.9648,33.4392,70.6907
1711.9648,33.4392,70.6907
1712.9648,33.4392,70.6907
1713.9647,33.4392,70.6907
1714.9647,33.4393,70.6907
1715.9647,33.4392,70.6907
1716.9647,33.4392,70.6907
1717.9647,33.4392,70.6907
1718.9647,33.4392,70.6907
1719.9646,33.4392,70.6907
1720.9646,33.439,70.6909
1721.9646,33.439,70.6909
1722.9646,33.439,70.6909
1723.9646,33.439,70.6909
1724.9646,33.439,70.6909
1725.9646,33.439,70.6909
1726.9646,33.439,70.6909
1727.9646,33.439,70.6909
1728.9646,33.439,70.6909
1729.9645,33.439,70.6909
1730.9645,33.4391,70.6908
1731.9645,33.4391,70.6908
1732.9645,33.4391,70.6909
1733.9645,33.4391,70.6909
1734.9645,33.439,70.6909
1735.9645,33.439,70.6909
1736.9645,33.439,70.6909
