time,seconds_elapsed,dBFS
1776314284463000000,41.599,-22.14383316040039
1776314284569000000,41.705,-25.46385955810547
1776314284674000000,41.80999975585937,-24.586305618286133
1776314284779000000,41.915,-26.174785614013672
1776314284884000000,42.02,-28.783824920654297
1776314284989000000,42.125,-25.692115783691406
1776314285094000000,42.230000244140626,-23.40129280090332
1776314285199000000,42.335,-18.626970291137695
1776314285305000000,42.441,-20.65577507019043
1776314285410000000,42.54599975585938,-18.928062438964844
1776314285515000000,42.651,-21.602201461791992
1776314285620000000,42.756,-22.41779899597168
1776314285724000000,42.86,-26.02360725402832
1776314285827000000,42.963,-28.09309196472168
1776314285932000000,43.068,-26.396570205688477
1776314286037000000,43.173,-17.317461013793945
1776314286142000000,43.27800024414063,-18.96922492980957
1776314286248000000,43.384,-22.037172317504883
1776314286353000000,43.489,-18.182737350463867
1776314286458000000,43.59399975585937,-19.123872756958008
1776314286563000000,43.699,-21.742080688476562
1776314286668000000,43.804,-24.60845375061035
1776314286773000000,43.909,-24.82952117919922
1776314286878000000,44.014000244140625,-19.80399513244629
1776314286983000000,44.119,-16.067235946655273
1776314287089000000,44.225,-10.643738746643066
1776314287194000000,44.329999755859376,-14.714627265930176
1776314287298000000,44.433999755859375,-17.814041137695312
1776314287403000000,44.539,-21.69634246826172
1776314287508000000,44.644,-26.279375076293945
1776314287611000000,44.747,-29.16225242614746
1776314287716000000,44.852,-32.35100173950195
1776314287820000000,44.956,-22.165802001953125
1776314287925000000,45.061,-26.37404441833496
1776314288030000000,45.166000244140626,-29.27560806274414
1776314288135000000,45.271,-30.637975692749023
1776314288240000000,45.376,-30.63664436340332
1776314288345000000,45.481,-26.0635986328125
1776314288450000000,45.585999755859376,-28.4307804107666
1776314288556000000,45.692,-22.559778213500977
1776314288661000000,45.797,-12.038723945617676
1776314288766000000,45.90200024414062,-14.885416030883789
1776314288871000000,46.007,-17.809186935424805
1776314288977000000,46.113,-20.814002990722656
1776314289082000000,46.217999755859374,-14.302154541015625
1776314289184000000,46.32,-17.14259910583496
1776314289290000000,46.42599975585937,-20.13693618774414
1776314289395000000,46.531,-23.2153377532959
1776314289500000000,46.636,-26.00423240661621
1776314289605000000,46.741,-27.76483726501465
1776314289707000000,46.843,-29.061298370361328
1776314289812000000,46.948,-21.493371963500977
1776314289917000000,47.053,-22.017990112304688
1776314290022000000,47.158000244140624,-25.446163177490234
1776314290127000000,47.263,-28.250564575195312
1776314290233000000,47.369,-31.220348358154297
1776314290338000000,47.473999755859374,-31.5760440826416
1776314290443000000,47.579,-33.26166915893555
1776314290548000000,47.684,-35.2415885925293
1776314290653000000,47.789,-37.05923843383789
1776314290758000000,47.89400024414063,-33.758544921875
1776314290863000000,47.999,-35.2753791809082
1776314290968000000,48.104,-34.82052230834961
1776314291074000000,48.20999975585938,-36.67446517944336
1776314291179000000,48.315,-31.494705200195312
1776314291284000000,48.42,-33.23897933959961
1776314291389000000,48.525,-27.629024505615234
1776314291494000000,48.630000244140625,-23.441173553466797
1776314291599000000,48.735,-26.036865234375
1776314291705000000,48.841,-29.05958366394043
1776314291810000000,48.945999755859376,-32.09230041503906
1776314291915000000,49.051,-34.483619689941406
1776314292020000000,49.156,-33.14875030517578
1776314292125000000,49.261,-35.229759216308594
1776314292230000000,49.36600024414062,-23.538850784301758
1776314292335000000,49.471,-25.82297134399414
1776314292440000000,49.576,-27.586166381835938
1776314292545000000,49.681,-29.855398178100586
1776314292648000000,49.784,-32.04414367675781
